Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry
MMM,3M,reports,Industrials,Industrial Conglomerates
AOS,A. O. Smith,reports,Industrials,Building Products
ABT,Abbott,reports,Health Care,Health Care Equipment
ABBV,AbbVie,reports,Health Care,Pharmaceuticals
ABMD,Abiomed,reports,Health Care,Health Care Equipment
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment
ADM,ADM,reports,Consumer Staples,Agricultural Products
ADBE,Adobe,reports,Information Technology,Application Software
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail
AES,AES,reports,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,reports,Financials,Life & Health Insurance
A,Agilent Technologies,reports,Health Care,Health Care Equipment
AIG,AIG,reports,Financials,Property & Casualty Insurance
APD,Air Products,reports,Materials,Industrial Gases
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure
ALK,Alaska Air Group,reports,Industrials,Airlines
ALB,Albemarle,reports,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs
ALGN,Align,reports,Health Care,Health Care Supplies
ALLE,Allegion,reports,Industrials,Building Products
LNT,Alliant Energy,reports,Utilities,Electric Utilities
ALL,Allstate,reports,Financials,Property & Casualty Insurance
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services
MO,Altria,reports,Consumer Staples,Tobacco
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail
AMCR,Amcor,reports,Materials,Paper Packaging
AMD,AMD,reports,Information Technology,Semiconductors
AEE,Ameren,reports,Utilities,Multi-Utilities
AAL,American Airlines Group,reports,Industrials,Airlines
AEP,American Electric Power,reports,Utilities,Electric Utilities
AXP,American Express,reports,Financials,Consumer Finance
AMT,American Tower,reports,Real Estate,Specialized REITs
AWK,American Water,reports,Utilities,Water Utilities
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors
AME,Ametek,reports,Industrials,Electrical Components & Equipment
AMGN,Amgen,reports,Health Care,Biotechnology
APH,Amphenol,reports,Information Technology,Electronic Components
ADI,Analog Devices,reports,Information Technology,Semiconductors
ANSS,Ansys,reports,Information Technology,Application Software
ANTM,Anthem,reports,Health Care,Managed Health Care
AON,Aon,reports,Financials,Insurance Brokers
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment
